Country;ISO3166_alpha3;ISO3166_numeric;Region;SubRegion
Qatar;QAT;634.0;Middle East;Middle East
Republic of Congo;COG;178.0;Africa;Middle Africa
Romania;ROU;642.0;Europe;Europe
Russian Federation;RUS;643.0;CIS;CIS
Saudi Arabia;SAU;682.0;Middle East;Middle East
Serbia;SRB;688.0;Europe;Europe
Singapore;SGP;702.0;Asia Pacific;Asia Pacific
Slovakia;SVK;703.0;Europe;Europe
Slovenia;SVN;705.0;Europe;Europe
South Africa;ZAF;710.0;Africa;Southern Africa
South Korea;KOR;410.0;Asia Pacific;Asia Pacific
South Sudan;SSD;728.0;Africa;Eastern Africa
Spain;ESP;724.0;Europe;Europe
Sri Lanka;LKA;144.0;Asia Pacific;Asia Pacific
Sudan;SDN;729.0;Africa;Eastern Africa
Sweden;SWE;752.0;Europe;Europe
Switzerland;CHE;756.0;Europe;Europe
Syria;SYR;760.0;Middle East;Middle East
Taiwan;TWN;158.0;Asia Pacific;Asia Pacific
Thailand;THA;764.0;Asia Pacific;Asia Pacific
Total Africa;;;;
Total Asia Pacific;;;;
Total CIS;;;;
Total Central America;;;;
Total Eastern Africa;;;;
Total Europe;;;;
Total European Union;;;;
Total Middle Africa;;;;
Total Middle East;;;;
Total Non-OECD;;;;
Total North America;;;;
Total OECD;;;;
Total S. & Cent. America;;;;
Total Western Africa;;;;
Total World;;;;
Trinidad & Tobago;TTO;780.0;S. & Cent. America;Caribbean
Tunisia;TUN;788.0;Africa;Northern Africa
Turkey;TUR;792.0;Europe;Europe
Turkmenistan;TKM;795.0;CIS;CIS
US;USA;840.0;North America;North America
USSR;SUN;810.0;CIS;CIS
Ukraine;UKR;804.0;Europe;Europe
United Arab Emirates;ARE;784.0;Middle East;Middle East
United Kingdom;GBR;826.0;Europe;Europe
Uzbekistan;UZB;860.0;CIS;CIS
Venezuela;VEN;862.0;S. & Cent. America;South America
Vietnam;VNM;704.0;Asia Pacific;Asia Pacific
Yemen;YEM;887.0;Middle East;Middle East
Zambia;ZMB;894.0;Africa;Eastern Africa
Zimbabwe;ZWE;716.0;Africa;Eastern Africa
